,f1_cv,accuracy_cv,precision_cv,roc_auc_cv,recall_cv,f1_test,accuracy_test,precision_test,roc_auc_test,recall_test
LogisticRegression,0.8128955935185072,0.8159319494623887,0.8206207256028403,0.8939795023596376,0.8076268233562741,0.5005740528128588,0.7852912142152023,0.3992673992673993,0.7389707411929634,0.6707692307692308
KNN,0.9150634169884369,0.9081488382407027,0.8511271271325687,0.965430102899165,0.9894107908063887,0.5155131264916468,0.7996051332675223,0.42105263157894735,0.745006105006105,0.6646153846153846
DecisionTree,0.9086124344511148,0.9082959511498604,0.9053448113013888,0.912598504682356,0.9120469203133792,0.6619915848527349,0.8810463968410661,0.6082474226804123,0.8183973228417674,0.7261538461538461
RandomForest,0.9399907905966247,0.9402864645306449,0.9437925359782986,0.9850126362663622,0.9363144396831581,0.7864214992927864,0.9254689042448174,0.7277486910994765,0.8971220548998327,0.8553846153846154
XGBoost,0.957935809101509,0.9580831512450511,0.9600478612063046,0.9921211151435643,0.9560236765787993,0.8434782608695652,0.9466929911154985,0.7972602739726027,0.9259403970515081,0.8953846153846153
SVC,0.9152978761487244,0.9160204065075828,0.9135994551736518,0.9690311980427803,0.9186696532917804,0.6579330422125182,0.8840078973346496,0.6243093922651933,0.8077158232713788,0.6953846153846154
MLP,0.9399927645938613,0.9397725969755317,0.9328452010710198,0.9836905834580942,0.9476411072155131,0.7488855869242199,0.9165844027640672,0.7241379310344828,0.8594736128069461,0.7753846153846153
VotingClassifier,0.9604542414846904,0.9601423804166757,0.9514004916516765,0.9924895993262906,0.9698495866337705,0.7837837837837838,0.928923988153998,0.7653958944281525,0.8780228824673268,0.803076923076923
