,f1_cv,accuracy_cv,precision_cv,roc_auc_cv,recall_cv,f1_test,accuracy_test,precision_test,roc_auc_test,recall_test
LogisticRegression,0.8119364637832616,0.8152703470133915,0.8198864036495124,0.8946122984091701,0.8070386962732113,0.4888888888888889,0.7843040473840079,0.39433962264150946,0.7271822005155338,0.6430769230769231
KNN,0.9001778420511428,0.8908676957358891,0.8295573819268632,0.9653372216111482,0.9839691814915812,0.48703494926719276,0.7754195459032577,0.38434163701067614,0.730602812825035,0.6646153846153846
DecisionTree,0.9197541409207777,0.91962196850053,0.9170862032527378,0.9196206120417262,0.9227827554863005,0.7265193370165746,0.9022704837117473,0.6591478696741855,0.8646389001944558,0.8092307692307692
RandomForest,0.9611084485076351,0.9609507171754321,0.9570435270682406,0.9921913667549542,0.9652891399385363,0.8064992614475628,0.9353405725567621,0.7755681818181818,0.8967783656672546,0.84
XGBoost,0.9608276775554654,0.9608039287800445,0.9594642153166818,0.9928707471464108,0.9623474224126737,0.8304093567251462,0.9427443237907206,0.7910863509749304,0.9148772215438883,0.8738461538461538
SVC,0.8674160825700541,0.8707932198256281,0.8822869891422339,0.939871701711135,0.85527961736571,0.5882352941176471,0.851431391905232,0.5295566502463054,0.7746257857368968,0.6615384615384615
MLP,0.9399927645938613,0.9397725969755317,0.9328452010710198,0.9836905834580942,0.9476411072155131,0.7488855869242199,0.9165844027640672,0.7241379310344828,0.8594736128069461,0.7753846153846153
VotingClassifier,0.9582092156533886,0.9580096759189148,0.9517518772651024,0.9912290511354522,0.9649955633467515,0.7797619047619048,0.926949654491609,0.7550432276657061,0.8780916203138426,0.8061538461538461
